Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Barcelona;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;145.402
Barcelona;3.000 euros o más;De 50.000 habitantes o menos;Total;159.184
Barcelona;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;14.416
Barcelona;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;6.743
Barcelona;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;359
Barcelona;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;274.289
Barcelona;3.000 euros o más;Más de 50.000 habitantes;Total;295.807
Bizkaia;Total;Total;Un único tipo de dispositivo: Energía solar térmica;13.627
Bizkaia;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;10.084
Bizkaia;Total;Total;Combinación de varios tipos de dispositivos;746
Bizkaia;Total;Total;No dispone de dispositivo de energía renovable;458.217
Bizkaia;Total;Total;Total;482.674
Bizkaia;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;9.873
Bizkaia;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.678
Bizkaia;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;248.390
Bizkaia;Total;De 50.000 habitantes o menos;Total;264.156
Bizkaia;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;3.754
Bizkaia;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;4.406
Bizkaia;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;532
Bizkaia;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;209.827
Bizkaia;Total;Más de 50.000 habitantes;Total;218.518
Bizkaia;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.742
Bizkaia;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.128
Bizkaia;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Bizkaia;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;73.348
Bizkaia;Menos de 1.000 euros;Total;Total;76.218
Bizkaia;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.503
Bizkaia;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;722
Bizkaia;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;38.712
Bizkaia;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;40.937
Bizkaia;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;239
Bizkaia;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;406
Bizkaia;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Bizkaia;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;34.636
Bizkaia;Menos de 1.000 euros;Más de 50.000 habitantes;Total;35.281
Bizkaia;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.380
Bizkaia;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.126
Bizkaia;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;87.926
Bizkaia;De 1.000 euros a menos de 1.500 euros;Total;Total;93.432
Bizkaia;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.561
Bizkaia;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.307
Bizkaia;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;53.123
Bizkaia;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;55.991
Bizkaia;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;818
Bizkaia;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.820
Bizkaia;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;34.803
Bizkaia;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;37.441
Bizkaia;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.437
Bizkaia;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.271
Bizkaia;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;79.245
Bizkaia;De 1.500 euros a menos de 2.000 euros;Total;Total;82.953
Bizkaia;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.205
Bizkaia;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;374
Bizkaia;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;46.704
Bizkaia;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;48.283
Bizkaia;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.232
Bizkaia;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;897
Bizkaia;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Bizkaia;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;32.541
Bizkaia;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;34.670
Bizkaia;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;3.346
Bizkaia;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.135
Bizkaia;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Bizkaia;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;126.043
Bizkaia;De 2.000 euros a menos de 3.000 euros;Total;Total;131.747
Bizkaia;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.602
Bizkaia;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.411
Bizkaia;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;64.847
Bizkaia;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;68.859
Bizkaia;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;744
Bizkaia;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;724
Bizkaia;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Bizkaia;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;61.196
Bizkaia;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;62.888
Bizkaia;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;3.723
Bizkaia;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.424
Bizkaia;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;523
Bizkaia;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;91.655
Bizkaia;3.000 euros o más;Total;Total;98.324
Bizkaia;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;3.001
Bizkaia;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.865
Bizkaia;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Bizkaia;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;45.005
Bizkaia;3.000 euros o más;De 50.000 habitantes o menos;Total;50.086
Bizkaia;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;721
Bizkaia;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;559
Bizkaia;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Bizkaia;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;46.651
Bizkaia;3.000 euros o más;Más de 50.000 habitantes;Total;48.238
Burgos;Total;Total;Un único tipo de dispositivo: Energía solar térmica;4.347
Burgos;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.999
Burgos;Total;Total;Combinación de varios tipos de dispositivos;254
Burgos;Total;Total;No dispone de dispositivo de energía renovable;143.157
Burgos;Total;Total;Total;150.758
Burgos;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.583
Burgos;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.688
Burgos;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;122
Burgos;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;73.685
Burgos;Total;De 50.000 habitantes o menos;Total;77.078
Burgos;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;2.764
Burgos;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.311
Burgos;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Burgos;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;69.472
Burgos;Total;Más de 50.000 habitantes;Total;73.680
Burgos;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;749
Burgos;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;559
Burgos;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Burgos;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;32.179
Burgos;Menos de 1.000 euros;Total;Total;33.487
Burgos;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;481
Burgos;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;387
Burgos;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Burgos;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;18.782
Burgos;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;19.650
Burgos;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;269
Burgos;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;171
Burgos;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Burgos;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.397
Burgos;Menos de 1.000 euros;Más de 50.000 habitantes;Total;13.837
Burgos;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;803
Burgos;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;535
Burgos;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Burgos;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;36.925
Burgos;De 1.000 euros a menos de 1.500 euros;Total;Total;38.321
Burgos;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;244
Burgos;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Burgos;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Burgos;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;19.541
Burgos;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;19.931
Burgos;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;559
Burgos;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;447
Burgos;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Burgos;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.384
Burgos;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;18.390
Burgos;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;925
Burgos;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;617
Burgos;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Burgos;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;25.925
Burgos;De 1.500 euros a menos de 2.000 euros;Total;Total;27.466
Burgos;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;583
Burgos;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;439
Burgos;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Burgos;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;14.135
Burgos;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;15.157
